,productLink,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,producedIn,productCategory
1582,https://www.surlatable.com/product/PRO-2817138/USA+Pan+Biscotti+Pan,19.00,0.0,1.0,5.0,1,6,: USA Pan,the USA,Bakeware
1583,https://www.surlatable.com/product/PRO-2762532/Lekue+18+Cavity+Cube+Chocolate+Mold,10.00,0.0,0.0,0.0,1,1,: Lekue,China ,Bakeware
1584,https://www.surlatable.com/product/PRO-1176635/Steamed+Pudding+Mold,,,,,,,,,
1585,https://www.surlatable.com/product/PRO-1577048/Gobel+Nonstick+Canele+Bordelais+Mold,8.00,0.0,1.0,2.0,2,4,: Gobel,France,Bakeware
1586,https://www.surlatable.com/product/PRO-2509743/Sur+La+Table+Porcelain+Oval+Creme+Brulee+Dish,2.36,5.0,3.0,4.666666666666667,2,34,: Sur La Table,China exclusively for Sur La Table,Bakeware
1587,https://www.surlatable.com/product/PRO-2509800/Sur+La+Table+Porcelain+Round+Creme+Brulee+Dish,2.96,6.0,1.0,5.0,1,15,: Sur La Table,China exclusively for Sur La Table,Bakeware
1588,https://www.surlatable.com/product/PRO-7325/Gobel+Nonstick+Baba+Mold,8.00,0.0,0.0,0.0,2,3,: Gobel,"France by Gobel, a leader of pastry molds since 1887",Bakeware
1589,https://www.surlatable.com/product/PRO-703504/Gobel+Flan+Ring,,,,,,,,,
1590,https://www.surlatable.com/product/PRO-7493/Nonstick+Barquette+Mold,4.00,0.0,0.0,0.0,2,6,: Gobel,France,Bakeware
1591,https://www.surlatable.com/product/PRO-3618527/Emile+Henry+Tall+Ramekins,15.95,0.0,0.0,0.0,1,4,: Emile Henry,France,Bakeware
1592,https://www.surlatable.com/product/PRO-30676/J+K+Adams+Hardwood+Rolling+Pin,14.00,0.0,2.0,3.0,3,19,: J.K. Adams,,Bakeware
1593,https://www.surlatable.com/product/PRO-1953645/Emile+Henry+Modern+Classics+Ramekins+Set+of+2,17.95,0.0,5.0,5.0,4,26,: Emile Henry,France,Bakeware
1594,https://www.surlatable.com/product/PRO-3618576/Emile+Henry+Ramekins,15.95,0.0,0.0,0.0,1,2,: Emile Henry,France,Bakeware
1595,https://www.surlatable.com/product/PRO-2509610/Sur+La+Table+Porcelain+Round+Ramekin+with+Ribbed+Sides,1.16,8.0,7.0,4.428571428571429,7,59,: Sur La Table,China exclusively for Sur La Table,Bakeware
1596,https://www.surlatable.com/product/PRO-3660099/Revol+Equinox+Ramekins,,,,,,,,,
1597,https://www.surlatable.com/product/PRO-195881/Rosle+Confectionary+Funnel,,,,,,,,,
1598,https://www.surlatable.com/product/PRO-608703/Lodge+Drop+Biscuit+Pan,39.95,0.0,3.0,3.6666666666666665,4,18,: Lodge Manufacturing Company,USA,Specialty Cookware
1599,https://www.surlatable.com/product/PRO-4472361/Nordic+Ware+Nonstick+Rolling+Pin,14.99,19.0,0.0,0.0,1,7,: Nordic Ware,the USA,Bakeware
1600,https://www.surlatable.com/product/PRO-198613/Le+Creuset+Signature+Petite+Cocotte,19.96,35.0,32.0,4.65625,10,80,: Le Creuset,Thailand/China,Dutch Ovens & Braisers
1601,https://www.surlatable.com/product/PRO-2509578/Sur+La+Table+Porcelain+Round+Ramekin+with+Straight+Sides,2.36,6.0,1.0,5.0,6,51,: Sur La Table,China exclusively for Sur La Table,Bakeware
1602,https://www.surlatable.com/product/PRO-611350/Ateco+Rum+Baba+or+Dariole+Molds,4.99,7.0,0.0,0.0,2,3,: Ateco,,Bakeware
1603,https://www.surlatable.com/product/PRO-637520/J+K+Adams+French+Tapered+Dowel+Rolling+Pin,,,,,,,,,
1604,https://www.surlatable.com/product/PRO-4471371/Oven+Rack+Guards,9.95,0.0,0.0,0.0,2,2,: Harold Imports,China,Bakeware
1605,https://www.surlatable.com/product/PRO-2509792/Sur+La+Table+Porcelain+Custard+Cup,1.76,3.0,1.0,5.0,1,24,: Sur La Table,China exclusively for Sur La Table,Bakeware
1606,https://www.surlatable.com/product/PRO-3982469/USA+Pan+Madeleine+Pan,18.00,0.0,1.0,5.0,1,5,: USA Pan,the USA,Bakeware
