,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,productCategory,priceDiff,percentSaved,answersPerQuestion,market,sku
91,309.95,415.0,8.0,4.625,7.0,64.0,le creuset,Dutch Ovens & Braisers,105.05,0.253132530120482,9.142857142857142,France,1268481
92,99.96,300.0,8.0,5.0,19.0,92.0,demeyere,Skillets,200.04,0.6668000000000001,4.842105263157895,Other EMEA,396929
93,149.96,265.0,26.0,4.6923076923076925,16.0,93.0,scanpan,Skillets,115.04,0.43411320754716975,5.8125,Other EMEA,2192888
94,99.96,200.0,10.0,5.0,10.0,72.0,scanpan,Saute Pans,100.04,0.5002,7.2,Other EMEA,2006476
95,79.96,145.0,16.0,4.6875,13.0,87.0,le creuset,Other,65.04,0.4485517241379311,6.6923076923076925,Other APAC,1919794
96,69.96,129.95,2.0,5.0,2.0,19.0,sur la table,Cookware Sets,59.99,0.4616390919584456,9.5,China,4472098
97,419.95,419.95,2.0,5.0,8.0,68.0,le creuset,Dutch Ovens & Braisers,0.0,0.0,8.5,France,1648427
98,99.96,220.0,55.0,4.8,33.0,183.0,all-clad,Dutch Ovens & Braisers,120.04,0.5456363636363637,5.545454545454546,China,1750397
99,55.96,110.0,17.0,4.882352941176472,5.0,60.0,sur la table,Saucepans,54.04,0.4912727272727273,12.0,China,2393635
100,59.95,165.0,40.0,4.85,17.0,100.0,scanpan,Skillets,105.05,0.6366666666666666,5.882352941176472,Other EMEA,2005668
101,29.95,55.0,23.0,4.913043478260869,15.0,89.0,scanpan,Other,25.05,0.4554545454545455,5.933333333333334,Other EMEA,2006005
102,199.96,420.0,2.0,5.0,3.0,33.0,scanpan,Saute Pans,220.04,0.5239047619047619,11.0,Other EMEA,4140752
103,199.95,540.0,1.0,5.0,1.0,6.0,cuisinart,Cookware Sets,340.05,0.6297222222222223,6.0,China,3485653
104,129.96,245.0,18.0,4.666666666666667,19.0,105.0,all-clad,Dutch Ovens & Braisers,115.04,0.4695510204081632,5.526315789473684,USA,1460666
105,99.96,200.0,23.0,4.782608695652174,14.0,88.0,scanpan,Skillets,100.04,0.5002,6.2857142857142865,Other EMEA,2475721
106,244.95,244.95,1.0,5.0,1.0,5.0,all-clad,Saucepans,0.0,0.0,5.0,USA,3501392
107,79.96,240.0,26.0,4.538461538461538,15.0,80.0,demeyere,Skillets,160.04000000000005,0.6668333333333334,5.333333333333333,Other EMEA,188341
